# Pronounce — full dictionary

Format: <word> | <IPA> | <respelling> | <category> | <confidence> | <source>
Arch | /ɑːrtʃ/ | arch | product | community-consensus | https://archlinux.org/
Nix | /nɪks/ | nicks | product | community-consensus | https://nixos.org/
Django | /ˈdʒæŋɡoʊ/ | jang go | product | creator-clarified | https://www.djangoproject.com/foundation/faq/
Vue | /vjuː/ | view | product | creator-clarified | https://github.com/vuejs/vue#readme
Vite | /viːt/ | veet | product | creator-clarified | https://github.com/vitejs/vite#readme
Pydantic | /paɪˈdæntɪk/ | pie dantick | product | community-consensus | https://docs.pydantic.dev/
Bun | /bʌn/ | bun | product | community-consensus | https://bun.sh/
Deno | /ˈdiːnoʊ/ | dee no | product | community-consensus | https://deno.com/
Hugo | /ˈhjuːɡoʊ/ | hue go | product | community-consensus | https://gohugo.io/
Hono | /ˈhoʊnoʊ/ | ho no | product | community-consensus | https://hono.dev/
Caddy | /ˈkædi/ | caddy | product | community-consensus | https://caddyserver.com/
Svelte | /svɛlt/ | svelt | product | community-consensus | https://svelte.dev/
Astro | /ˈæstroʊ/ | astro | product | community-consensus | https://astro.build/
Pinia | /ˈpiːnjə/ | pee nya | product | community-consensus | https://pinia.vuejs.org/
LaTeX | /ˈleɪtɛk/ | lay tek | tool | creator-clarified | https://www.latex-project.org/about/
TeX | /tɛk/ | tek | tool | creator-clarified | https://en.wikipedia.org/wiki/TeX#Pronunciation_and_spelling
char | /tʃɑːr/ | char | cs-term | contested | (no source)
regex | /ˈrɛdʒɛks/ | rej eks | cs-term | contested | (no source)
sudo | /ˈsuːduː/ | soo doo | cli-tool | contested | https://en.wikipedia.org/wiki/Sudo
tmux | /ˌtiː ˈmʌks/ | T mux | tool | contested | (no source)
chmod | /ˌtʃiː ˈmɒd/ | C H mod | cli-tool | contested | (no source)
emacs | /ˈiːmæks/ | ee max | tool | community-consensus | https://www.gnu.org/software/emacs/
zsh | /ˌziː ˈʃɛl/ | Z shell | tool | community-consensus | https://zsh.sourceforge.io/
WYSIWYG | /ˈwɪziwɪɡ/ | whizzy wig | acronym | community-consensus | https://en.wikipedia.org/wiki/WYSIWYG
ASCII | /ˈæski/ | ass key | acronym | community-consensus | https://en.wikipedia.org/wiki/ASCII
Azure | /ˈæʒər/ | azh er | product | community-consensus | https://azure.microsoft.com/
AWS | /ˌeɪ dʌbljuː ˈɛs/ | A W S | product | community-consensus | https://aws.amazon.com/
GCP | /ˌdʒiː siː ˈpiː/ | G C P | product | community-consensus | https://cloud.google.com/
SaaS | /sæs/ | sass | acronym | community-consensus | https://en.wikipedia.org/wiki/Software_as_a_service
PaaS | /pæs/ | pass | acronym | community-consensus | https://en.wikipedia.org/wiki/Platform_as_a_service
Numpy | /ˈnʌmpaɪ/ | num pie | product | community-consensus | https://numpy.org/
SciPy | /ˈsaɪpaɪ/ | sigh pie | product | community-consensus | https://scipy.org/
Jupyter | /ˈdʒuːpɪtər/ | joo pi ter | product | community-consensus | https://jupyter.org/
pandas | /ˈpændəz/ | pandas | product | community-consensus | https://pandas.pydata.org/
PyTorch | /ˈpaɪtɔːrtʃ/ | pie torch | product | community-consensus | https://pytorch.org/
NaN | /næn/ | nan | cs-term | contested | https://en.wikipedia.org/wiki/NaN
enum | /ˈiːnəm/ | ee num | cs-term | community-consensus | (no source)
Anthropic | /ænˈθrɑpɪk/ | an THROP ik | product | community-consensus | https://dictionary.cambridge.org/pronunciation/english/anthropic
OpenAI | /ˈoʊpən eɪ aɪ/ | open A I | product | community-consensus | https://openai.com/
Claude | /klɔːd/ | clawed | product | community-consensus | https://www.anthropic.com/claude
Cohere | /koʊˈhɪər/ | co here | product | community-consensus | https://cohere.com/
Mistral | /mɪˈstrɑːl/ | mis trahl | product | community-consensus | https://mistral.ai/
Ollama | /oʊˈlɑːmə/ | oh la ma | product | community-consensus | https://ollama.com/
LangChain | /ˈlæŋtʃeɪn/ | lang chain | product | community-consensus | https://www.langchain.com/
LlamaIndex | /ˈlɑːməˌɪndɛks/ | llama index | product | community-consensus | https://www.llamaindex.ai/
HuggingFace | /ˈhʌɡɪŋˌfeɪs/ | hugging face | product | community-consensus | https://huggingface.co/
vLLM | /ˌviː ɛl ɛl ˈɛm/ | V L L M | product | community-consensus | https://github.com/vllm-project/vllm
JAX | /dʒæks/ | jacks | product | community-consensus | https://jax.readthedocs.io/
Mojo | /ˈmoʊdʒoʊ/ | mo jo | product | community-consensus | https://www.modular.com/mojo
DSPy | /ˌdiː ɛs ˈpaɪ/ | D S pie | product | community-consensus | https://dspy.ai/
Pinecone | /ˈpaɪnˌkoʊn/ | pine cone | product | community-consensus | https://www.pinecone.io/
Weaviate | /ˈwiːviˌeɪt/ | wee vee ate | product | community-consensus | https://weaviate.io/
Milvus | /ˈmɪlvəs/ | mill vus | product | community-consensus | https://milvus.io/
Qdrant | /ˈkwɒdrənt/ | quadrant | product | community-consensus | https://qdrant.tech/
Chroma | /ˈkroʊmə/ | chroma | product | community-consensus | https://www.trychroma.com/
Modal | /ˈmoʊdl̩/ | moh dl | product | community-consensus | https://modal.com/
Replicate | /ˈrɛplɪˌkeɪt/ | rep li kate | product | community-consensus | https://replicate.com/
Next.js | /ˈnɛkst dʒeɪ ɛs/ | next J S | product | community-consensus | https://nextjs.org/
Nuxt | /nʌkst/ | nukst | product | community-consensus | https://nuxt.com/
Remix | /ˈriːmɪks/ | ree mix | product | community-consensus | https://remix.run/
Qwik | /kwɪk/ | quick | product | community-consensus | https://qwik.dev/
SolidJS | /ˈsɒlɪd dʒeɪ ɛs/ | solid J S | product | community-consensus | https://www.solidjs.com/
Tailwind | /ˈteɪlˌwɪnd/ | tail wind | product | community-consensus | https://tailwindcss.com/
shadcn | /ˌʃæd siː ˈɛn/ | shad C N | product | community-consensus | https://ui.shadcn.com/
tRPC | /ˌtiː ɑːr piː ˈsiː/ | T R P C | product | community-consensus | https://trpc.io/
Zod | /zɒd/ | zod | product | community-consensus | https://zod.dev/
Zustand | /ˈtsuːʃtʌnt/ | tsu shtund | product | community-consensus | https://zustand.docs.pmnd.rs/
Drizzle | /ˈdrɪzəl/ | drizzle | product | community-consensus | https://orm.drizzle.team/
Prisma | /ˈprɪzmə/ | prizma | product | community-consensus | https://www.prisma.io/
NestJS | /ˌnɛst dʒeɪ ˈɛs/ | nest J S | product | community-consensus | https://nestjs.com/
FastAPI | /ˌfæst eɪ piː ˈaɪ/ | fast A P I | product | community-consensus | https://fastapi.tiangolo.com/
Vercel | /vɜːrˈsɛl/ | ver SELL | product | community-consensus | https://vercel.com/
Netlify | /ˈnɛtlɪˌfaɪ/ | net li fy | product | community-consensus | https://www.netlify.com/
Cloudflare | /ˈklaʊdˌflɛər/ | cloud flair | product | community-consensus | https://www.cloudflare.com/
HashiCorp | /ˈhæʃiˌkɔːrp/ | hashy corp | product | community-consensus | https://www.hashicorp.com/
Datadog | /ˈdætəˌdɔːɡ/ | data dog | product | community-consensus | https://www.datadoghq.com/
Stripe | /straɪp/ | stripe | product | community-consensus | https://stripe.com/
Notion | /ˈnoʊʃən/ | no shun | product | community-consensus | https://www.notion.so/
Linear | /ˈlɪniər/ | lin ee ar | product | community-consensus | https://linear.app/
Snowflake | /ˈsnoʊˌfleɪk/ | snow flake | product | community-consensus | https://www.snowflake.com/
Databricks | /ˈdætəˌbrɪks/ | data bricks | product | community-consensus | https://www.databricks.com/
Palantir | /ˈpælənˌtɪər/ | pal an teer | product | community-consensus | https://www.palantir.com/
Atlassian | /ætˈlæsiən/ | at lass ee an | product | community-consensus | https://www.atlassian.com/
Splunk | /splʌŋk/ | splunk | product | community-consensus | https://www.splunk.com/
Cilium | /ˈsɪliəm/ | silly um | product | community-consensus | https://cilium.io/
Linkerd | /ˈlɪŋkərdiː/ | linker D | product | community-consensus | https://linkerd.io/
Crossplane | /ˈkrɒsˌpleɪn/ | cross plane | product | community-consensus | https://www.crossplane.io/
Karpenter | /ˈkɑːrpəntər/ | carpenter | product | community-consensus | https://karpenter.sh/
Velero | /vəˈlɛəroʊ/ | veh lair oh | product | community-consensus | https://velero.io/
Falco | /ˈfælkoʊ/ | fal co | product | community-consensus | https://falco.org/
Trivy | /ˈtrɪvi/ | trivy | product | community-consensus | https://trivy.dev/
Kyverno | /kaɪˈvɜːrnoʊ/ | kai verno | product | community-consensus | https://kyverno.io/
OPA | /ˌoʊ piː ˈeɪ/ | O P A | abbreviation | community-consensus | https://www.openpolicyagent.org/
ArgoCD | /ˈɑːrɡoʊ siː diː/ | argo C D | product | community-consensus | https://argoproj.github.io/cd/
FluxCD | /ˈflʌks siː diː/ | flux C D | product | community-consensus | https://fluxcd.io/
Tekton | /ˈtɛktən/ | tek ton | product | community-consensus | https://tekton.dev/
Neovim | /ˈniːoʊˌvɪm/ | nee oh vim | tool | community-consensus | https://neovim.io/
Helix | /ˈhiːlɪks/ | hee licks | tool | community-consensus | https://helix-editor.com/
Zed | /zɛd/ | zed | tool | community-consensus | https://zed.dev/
Cursor | /ˈkɜːrsər/ | cur sir | tool | community-consensus | https://cursor.com/
IntelliJ | /ɪnˈtɛlədʒeɪ/ | in tell i J | tool | community-consensus | https://www.jetbrains.com/idea/
ripgrep | /ˈrɪpɡrɛp/ | rip grep | tool | community-consensus | https://github.com/BurntSushi/ripgrep
fzf | /ˌɛf ziː ˈɛf/ | F Z F | tool | community-consensus | https://github.com/junegunn/fzf
eza | /ˈiːzə/ | ee zah | tool | community-consensus | https://eza.rocks/
k9s | /ˈkeɪ naɪnz/ | K nines | tool | community-consensus | https://k9scli.io/
k3s | /ˌkeɪ θriː ˈɛs/ | K three S | product | community-consensus | https://k3s.io/
Elasticsearch | /ɪˈlæstɪkˌsɜːrtʃ/ | elastic search | product | community-consensus | https://www.elastic.co/
Lucene | /luːˈsiːn/ | loo seen | product | community-consensus | https://lucene.apache.org/
Solr | /ˈsɒlər/ | sol er | product | community-consensus | https://solr.apache.org/
Meilisearch | /ˌmeɪli ˈsɜːrtʃ/ | may lee search | product | community-consensus | https://www.meilisearch.com/
Typesense | /ˈtaɪpˌsɛns/ | type sense | product | community-consensus | https://typesense.org/
Algolia | /ælˈɡoʊliə/ | al go lia | product | community-consensus | https://www.algolia.com/
Neo4j | /ˌniːoʊ ˌfɔːr ˈdʒeɪ/ | nee oh four J | product | community-consensus | https://neo4j.com/
CockroachDB | /ˈkɒkroʊtʃ diː biː/ | cockroach D B | product | community-consensus | https://www.cockroachlabs.com/
Elixir | /ɪˈlɪksər/ | ee lik sir | product | community-consensus | https://elixir-lang.org/
Erlang | /ˈɜːrlæŋ/ | er lang | product | community-consensus | https://www.erlang.org/
Haskell | /ˈhæskəl/ | haskel | product | community-consensus | https://www.haskell.org/
Scala | /ˈskɑːlə/ | skah la | product | community-consensus | https://www.scala-lang.org/
Kotlin | /ˈkɒtlɪn/ | cot lin | product | community-consensus | https://kotlinlang.org/
Julia | /ˈdʒuːliə/ | joo lia | product | community-consensus | https://julialang.org/
Clojure | /ˈkloʊʒər/ | closure | product | community-consensus | https://clojure.org/
OCaml | /oʊˈkæməl/ | oh camel | product | community-consensus | https://ocaml.org/
Lua | /ˈluːə/ | loo ah | product | creator-clarified | https://www.lua.org/about.html
Zig | /zɪɡ/ | zig | product | community-consensus | https://ziglang.org/
uv | /ˌjuː ˈviː/ | you V | tool | community-consensus | https://github.com/astral-sh/uv
ruff | /rʌf/ | ruff | tool | community-consensus | https://docs.astral.sh/ruff/
mypy | /ˈmaɪpaɪ/ | my pie | tool | community-consensus | https://mypy.readthedocs.io/
Biome | /baɪˈoʊm/ | bye ohm | tool | community-consensus | https://biomejs.dev/
Bazel | /ˈbeɪzəl/ | bay zel | tool | community-consensus | https://bazel.build/
Gradle | /ˈɡreɪdəl/ | gray del | tool | community-consensus | https://gradle.org/
Cargo | /ˈkɑːrɡoʊ/ | car go | tool | community-consensus | https://doc.rust-lang.org/cargo/
pnpm | /ˌpiː ɛn piː ˈɛm/ | P N P M | tool | community-consensus | https://pnpm.io/
nmap | /ˈɛnˌmæp/ | en map | tool | community-consensus | https://nmap.org/
curl | /kɜːrl/ | curl | tool | community-consensus | https://curl.se/
wget | /ˈdʌbljuː ɡɛt/ | double-you get | tool | community-consensus | https://www.gnu.org/software/wget/
SSH | /ˌɛs ɛs ˈeɪtʃ/ | S S H | abbreviation | community-consensus | https://en.wikipedia.org/wiki/Secure_Shell
rsync | /ˈɑːrˌsɪŋk/ | R sync | tool | community-consensus | https://rsync.samba.org/
htop | /ˈeɪtʃˌtɒp/ | H top | tool | community-consensus | https://htop.dev/
LLM | /ˌɛl ɛl ˈɛm/ | L L M | acronym | community-consensus | https://en.wikipedia.org/wiki/Large_language_model
RAG | /ræɡ/ | rag | acronym | community-consensus | https://en.wikipedia.org/wiki/Retrieval-augmented_generation
MCP | /ˌɛm siː ˈpiː/ | M C P | abbreviation | community-consensus | https://modelcontextprotocol.io/
LLaMA | /ˈlɑːmə/ | llama | product | community-consensus | https://www.llama.com/
DALL-E | /ˈdɒli/ | dolly | product | community-consensus | https://openai.com/dall-e-2
Gemini | /ˈdʒɛmɪnaɪ/ | jem in eye | product | community-consensus | https://gemini.google.com/
GPT | /ˌdʒiː piː ˈtiː/ | G P T | acronym | community-consensus | https://en.wikipedia.org/wiki/Generative_pre-trained_transformer
Sora | /ˈsɔːrə/ | sor ah | product | community-consensus | https://openai.com/sora
Midjourney | /ˈmɪdˌdʒɜːrni/ | mid journey | product | community-consensus | https://www.midjourney.com/
Codex | /ˈkoʊdɛks/ | co decks | product | community-consensus | https://openai.com/codex
HTMX | /ˌeɪtʃ tiː ɛm ˈɛks/ | H T M X | tool | community-consensus | https://htmx.org/
WebAssembly | /ˈwɛbəˌsɛmbli/ | web assembly | tool | community-consensus | https://webassembly.org/
Wasm | /ˈwɒzəm/ | wozum | abbreviation | contested | https://webassembly.org/
GraphQL | /ˌɡræf kjuː ˈɛl/ | graph Q L | tool | community-consensus | https://graphql.org/
gRPC | /ˌdʒiː ɑːr piː ˈsiː/ | G R P C | tool | community-consensus | https://grpc.io/
REST | /rɛst/ | rest | acronym | community-consensus | https://en.wikipedia.org/wiki/REST
OAuth | /ˈoʊɔːθ/ | oh awth | acronym | contested | https://oauth.net/
JWT | /dʒɒt/ | jot | acronym | contested | https://datatracker.ietf.org/doc/html/rfc7519
SAML | /ˈsæməl/ | sam ul | acronym | community-consensus | https://en.wikipedia.org/wiki/Security_Assertion_Markup_Language
DNS | /ˌdiː ɛn ˈɛs/ | D N S | abbreviation | community-consensus | https://en.wikipedia.org/wiki/Domain_Name_System
CIDR | /ˈsaɪdər/ | cider | acronym | creator-clarified | https://en.wikipedia.org/wiki/Classless_Inter-Domain_Routing
Gleam | /ɡliːm/ | gleem | product | community-consensus | https://gleam.run/
Roc | /rɒk/ | rock | product | community-consensus | https://www.roc-lang.org/
Carbon | /ˈkɑːrbən/ | carbon | product | community-consensus | https://github.com/carbon-language
V | /viː/ | V | product | community-consensus | https://github.com/vlang/v
Odin | /ˈoʊdɪn/ | oh din | product | community-consensus | https://odin-lang.org/
Racket | /ˈrækɪt/ | rack et | product | community-consensus | https://racket-lang.org/
Webpack | /ˈwɛbˌpæk/ | web pack | tool | community-consensus | https://webpack.js.org/
Babel | /ˈbæbəl/ | bab ul | tool | community-consensus | https://babeljs.io/
ESLint | /ˌiː ɛs ˈlɪnt/ | E S lint | tool | community-consensus | https://eslint.org/
Prettier | /ˈprɪtiər/ | pretty er | tool | community-consensus | https://prettier.io/
Turbo | /ˈtɜːrboʊ/ | turbo | tool | community-consensus | https://turbo.build/
Nx | /ˌɛn ˈɛks/ | N X | tool | community-consensus | https://nx.dev/
Lerna | /ˈlɜːrnə/ | lurn ah | tool | community-consensus | https://lerna.js.org/
Storybook | /ˈstɔːriˌbʊk/ | story book | tool | community-consensus | https://storybook.js.org/
Playwright | /ˈpleɪˌraɪt/ | play right | tool | community-consensus | https://playwright.dev/
Cypress | /ˈsaɪprəs/ | sigh press | tool | community-consensus | https://www.cypress.io/
Vitest | /ˈviːtɛst/ | vee test | tool | community-consensus | https://vitest.dev/
Jest | /dʒɛst/ | jest | tool | community-consensus | https://jestjs.io/
Heroku | /həˈroʊkuː/ | her oh koo | product | community-consensus | https://www.heroku.com/
Sourcegraph | /ˈsɔːrsˌɡræf/ | source graph | product | community-consensus | https://sourcegraph.com/
Codeium | /ˈkoʊdiəm/ | co dee um | product | community-consensus | https://codeium.com/
Replit | /ˈrɛplɪt/ | rep lit | product | community-consensus | https://replit.com/
Hasura | /həˈsʊrə/ | huh sue rah | product | community-consensus | https://hasura.io/
Auth0 | /ˌɔːθ ˈziːroʊ/ | auth zero | product | community-consensus | https://auth0.com/
Clerk | /klɜːrk/ | clerk | product | community-consensus | https://clerk.com/
Supabase | /ˈsuːpəˌbeɪs/ | super base | product | community-consensus | https://supabase.com/
Twilio | /ˈtwɪlioʊ/ | twill ee oh | product | community-consensus | https://www.twilio.com/
Plaid | /plæd/ | plad | product | community-consensus | https://plaid.com/
Memcached | /ˌmɛm ˈkæʃt/ | mem cashed | product | community-consensus | https://memcached.org/
Valkey | /ˈvælki/ | val key | product | community-consensus | https://valkey.io/
Aerospike | /ˈɛəroʊˌspaɪk/ | air oh spike | product | community-consensus | https://aerospike.com/
SurrealDB | /səˈriːəl diː biː/ | sir ee al D B | product | community-consensus | https://surrealdb.com/
Materialize | /məˈtɪriəˌlaɪz/ | muh tear ee al ize | product | community-consensus | https://materialize.com/
Kafka | /ˈkɑːfkə/ | kaf kah | product | community-consensus | https://kafka.apache.org/
Pulsar | /ˈpʌlsɑːr/ | pul sar | product | community-consensus | https://pulsar.apache.org/
RabbitMQ | /ˈræbɪt ɛm kjuː/ | rabbit M Q | product | community-consensus | https://www.rabbitmq.com/
NATS | /næts/ | nats | product | community-consensus | https://nats.io/
Docker | /ˈdɒkər/ | dock er | product | community-consensus | https://www.docker.com/
Jenkins | /ˈdʒɛŋkɪnz/ | jen kinz | product | community-consensus | https://www.jenkins.io/
GitHub | /ˈɡɪtˌhʌb/ | git hub | product | community-consensus | https://github.com/
GitLab | /ˈɡɪtˌlæb/ | git lab | product | community-consensus | https://about.gitlab.com/
CircleCI | /ˈsɜːrkəl siː aɪ/ | circle C I | product | community-consensus | https://circleci.com/
Aider | /ˈeɪdər/ | ay der | product | community-consensus | https://aider.chat/
Cline | /klaɪn/ | kline | product | community-consensus | https://cline.bot/
Marimo | /məˈriːmoʊ/ | muh ree mo | product | community-consensus | https://marimo.io/
Letta | /ˈlɛtə/ | let ah | product | community-consensus | https://www.letta.com/
AutoGen | /ˈɔːtoʊdʒɛn/ | auto jen | product | community-consensus | https://microsoft.github.io/autogen/
CrewAI | /ˌkruː eɪ ˈaɪ/ | crew A I | product | community-consensus | https://www.crewai.com/
LiteLLM | /ˈlaɪt ɛl ɛl ɛm/ | light L L M | product | community-consensus | https://www.litellm.ai/
Marqo | /ˈmɑːrkoʊ/ | mar ko | product | community-consensus | https://www.marqo.ai/
Tanstack | /ˈtænˌstæk/ | tan stack | product | community-consensus | https://tanstack.com/
Jotai | /ˈdʒoʊtaɪ/ | jo tie | product | creator-clarified | https://jotai.org/
Valtio | /ˈvɑːltioʊ/ | val tee oh | product | creator-clarified | https://valtio.dev/
Recoil | /ˈriːkɔɪl/ | ree coil | product | community-consensus | https://recoiljs.org/
Million.js | /ˈmɪljən dʒeɪ ɛs/ | million J S | product | community-consensus | https://million.dev/
Preact | /ˈpriːækt/ | pre act | product | community-consensus | https://preactjs.com/
Mantine | /ˈmæntaɪn/ | man tine | product | community-consensus | https://mantine.dev/
Chakra | /ˈtʃækrə/ | chak rah | product | community-consensus | https://chakra-ui.com/
DaisyUI | /ˈdeɪzi juː aɪ/ | daisy U I | product | community-consensus | https://daisyui.com/
esbuild | /ˌiː ɛs ˈbɪld/ | E S build | tool | community-consensus | https://esbuild.github.io/
SWC | /ˌɛs dʌbljuː ˈsiː/ | S W C | tool | community-consensus | https://swc.rs/
Turbopack | /ˈtɜːrboʊˌpæk/ | turbo pack | tool | community-consensus | https://turbo.build/pack
Rspack | /ˌɑːr ɛs ˈpæk/ | R S pack | tool | community-consensus | https://rspack.dev/
Oxc | /ˌoʊ ɛks ˈsiː/ | O X C | tool | community-consensus | https://oxc.rs/
Pulumi | /puːˈluːmi/ | poo loo mee | product | community-consensus | https://www.pulumi.com/
Dapr | /ˈdæpər/ | dap er | product | creator-clarified | https://dapr.io/
Backstage | /ˈbækˌsteɪdʒ/ | back stage | product | community-consensus | https://backstage.io/
Traefik | /ˈtræfɪk/ | traffic | product | creator-clarified | https://traefik.io/
WireGuard | /ˈwaɪərˌɡɑːrd/ | wire guard | product | community-consensus | https://www.wireguard.com/
Wezterm | /ˈwɛzˌtɜːrm/ | wez term | tool | creator-clarified | https://wezfurlong.org/wezterm/
Alacritty | /əˈlækrɪti/ | uh lack ri tee | tool | community-consensus | https://alacritty.org/
Kitty | /ˈkɪti/ | kit ee | tool | community-consensus | https://sw.kovidgoyal.net/kitty/
Zellij | /zɛˈliːʒ/ | zell eezh | tool | community-consensus | https://zellij.dev/
Lazygit | /ˈleɪziˌɡɪt/ | lay zee git | tool | community-consensus | https://github.com/jesseduffield/lazygit
Lazydocker | /ˈleɪziˌdɒkər/ | lay zee docker | tool | community-consensus | https://github.com/jesseduffield/lazydocker
Lazyvim | /ˈleɪziˌvɪm/ | lay zee vim | tool | community-consensus | https://www.lazyvim.org/
just | /dʒʌst/ | just | tool | community-consensus | https://just.systems/
Tigerbeetle | /ˈtaɪɡərˌbiːtəl/ | tiger beetle | product | community-consensus | https://tigerbeetle.com/
Dragonfly | /ˈdræɡənˌflaɪ/ | dragon fly | product | community-consensus | https://www.dragonflydb.io/
Garnet | /ˈɡɑːrnɪt/ | gar net | product | community-consensus | https://microsoft.github.io/garnet/
ImmuDB | /ˈɪmjuː diː biː/ | im you D B | product | community-consensus | https://www.immudb.io/
EdgeDB | /ˈɛdʒ diː biː/ | edge D B | product | community-consensus | https://www.edgedb.com/
RisingWave | /ˈraɪzɪŋˌweɪv/ | rising wave | product | community-consensus | https://www.risingwave.com/
TimescaleDB | /ˈtaɪmˌskeɪl diː biː/ | time scale D B | product | community-consensus | https://www.timescale.com/
InfluxDB | /ˈɪnflʌks diː biː/ | in flux D B | product | community-consensus | https://www.influxdata.com/
Sentry | /ˈsɛntri/ | sentry | product | community-consensus | https://sentry.io/
Honeycomb | /ˈhʌniˌkoʊm/ | honey comb | product | community-consensus | https://www.honeycomb.io/
Jaeger | /ˈjeɪɡər/ | yay ger | product | community-consensus | https://www.jaegertracing.io/
Loki | /ˈloʊki/ | low key | product | community-consensus | https://grafana.com/oss/loki/
Tempo | /ˈtɛmpoʊ/ | tem po | product | community-consensus | https://grafana.com/oss/tempo/
Vector | /ˈvɛktər/ | vec tor | product | community-consensus | https://vector.dev/
Fluentd | /ˈfluːənt diː/ | fluent D | product | community-consensus | https://www.fluentd.org/
API | /ˌeɪ piː ˈaɪ/ | A P I | acronym | community-consensus | https://en.wikipedia.org/wiki/API
CDN | /ˌsiː diː ˈɛn/ | C D N | acronym | community-consensus | https://en.wikipedia.org/wiki/Content_delivery_network
CRUD | /krʌd/ | krud | acronym | community-consensus | https://en.wikipedia.org/wiki/Create,_read,_update_and_delete
ETL | /ˌiː tiː ˈɛl/ | E T L | acronym | community-consensus | https://en.wikipedia.org/wiki/Extract,_transform,_load
JIT | /dʒɪt/ | jit | acronym | contested | https://en.wikipedia.org/wiki/Just-in-time_compilation
ORM | /ˌoʊ ɑːr ˈɛm/ | O R M | acronym | community-consensus | https://en.wikipedia.org/wiki/Object%E2%80%93relational_mapping
SRE | /ˌɛs ɑːr ˈiː/ | S R E | acronym | community-consensus | https://en.wikipedia.org/wiki/Site_reliability_engineering
TLDR | /ˌtiː ɛl diː ˈɑːr/ | T L D R | acronym | community-consensus | https://en.wikipedia.org/wiki/TL;DR
LGTM | /ˌɛl dʒiː tiː ˈɛm/ | L G T M | acronym | community-consensus | https://en.wikipedia.org/wiki/Looks_good_to_me
DRY | /draɪ/ | dry | acronym | community-consensus | https://en.wikipedia.org/wiki/Don%27t_repeat_yourself
KISS | /kɪs/ | kiss | acronym | community-consensus | https://en.wikipedia.org/wiki/KISS_principle
