# say-it community pronunciation dictionary — General American only.
#
# Columns (TAB-separated, case-insensitive lookup on `word`):
#   1. word               the lookup key
#   2. ipa                primary GenAm IPA, with stress marks (for display + future SSML backends)
#   3. respelling_us      English-like phonetic respelling, fed verbatim to macOS `say` (the path that actually works today)
#   4. alt_ipa            `|`-separated alternative IPAs, or empty
#   5. alt_respelling_us  `|`-separated alternative respellings, paired with alt_ipa by index, or empty
#   6. source_url         best citation: documented pronunciation page, official FAQ, Wikipedia anchor, etc. Leave empty if unverified.
#   7. source_label       human-readable source label (e.g. "GNU Project official", "Wikipedia § Pronunciation")
#   8. category           project | product | cli-tool | tool | cs-term | acronym | abbreviation
#   9. confidence         creator-clarified | community-consensus | contested
#                         Only use `creator-clarified` when source_url documents a creator quote / official FAQ entry.
#  10. notes              editorial context (never spoken)
#
# Why English respelling rather than IPA/PHON phonemes?
#   macOS `say` (2026 era) does not parse `[[inpt PHON]]` markup or SSML `<phoneme>` tags — both are read as literal
#   text. So we feed plain English-like spellings that the TTS's internal letter-to-sound rules render acceptably.
#   The `ipa` column is retained for display, for future cloud TTS, and for the Windows SAPI backend (which DOES
#   honor SSML phoneme tags).
#
# Adding entries:
#   - All entries are best-effort and welcome PRs to improve. Confidence should reflect what the source URL actually
#     proves, not what you believe to be true. When in doubt, mark `community-consensus` and let a future PR upgrade
#     with a real citation.
#
word	ipa	respelling_us	alt_ipa	alt_respelling_us	source_url	source_label	category	confidence	notes
Django	/ˈdʒæŋɡoʊ/	jang go			https://www.djangoproject.com/foundation/faq/	Django FAQ	product	creator-clarified	FAQ documents "JANG-go" — silent D, like jazz guitarist Django Reinhardt.
Vue	/vjuː/	view			https://github.com/vuejs/vue#readme	Vue README	product	creator-clarified	"view". Vue 2 project README states verbatim: 'Vue (pronounced /vjuː/, like view)'. Same reading echoed on en.wikipedia.org/wiki/Vue.js.
Vite	/viːt/	veet			https://github.com/vitejs/vite#readme	Vite README	product	creator-clarified	"veet". Project README states verbatim: 'Vite (French word for "quick", pronounced /viːt/, like "veet")'. README also links an mp3 of the pronunciation.
Pydantic	/paɪˈdæntɪk/	pie dantick			https://docs.pydantic.dev/	Pydantic docs	product	community-consensus	"pie-DAN-tic" — "py" pronounced "pie" (as in Python), then "dantic". Heard from Samuel Colvin (creator) in Talk Python To Me / FastAPI talks; no official FAQ entry on docs.pydantic.dev as of this writing.
Bun	/bʌn/	bun			https://bun.sh/	Bun docs	product	community-consensus	"bun" — like the bread.
Deno	/ˈdiːnoʊ/	dee no			https://deno.com/	Deno docs	product	community-consensus	"DEE-no".
Hugo	/ˈhjuːɡoʊ/	hue go			https://gohugo.io/	Hugo	product	community-consensus	"HUE-go".
Hono	/ˈhoʊnoʊ/	ho no			https://hono.dev/	Hono docs	product	community-consensus	Japanese for "flame": "HOH-no".
Caddy	/ˈkædi/	caddy			https://caddyserver.com/	Caddy	product	community-consensus	"CAD-ee".
Svelte	/svɛlt/	svelt			https://svelte.dev/	Svelte	product	community-consensus	"svelt" — one syllable.
Astro	/ˈæstroʊ/	astro			https://astro.build/	Astro	product	community-consensus	"ASS-tro".
Pinia	/ˈpiːnjə/	pee nya			https://pinia.vuejs.org/	Pinia docs	product	community-consensus	"PEE-nya".
LaTeX	/ˈleɪtɛk/	lay tek			https://www.latex-project.org/about/	LaTeX project	tool	creator-clarified	Lamport: "lay-tek" (or "lah-tek"); never "lay-teks". Documented on the about page.
TeX	/tɛk/	tek			https://en.wikipedia.org/wiki/TeX#Pronunciation_and_spelling	Wikipedia § Pronunciation	tool	creator-clarified	Knuth: like "tech" — the X is a Greek chi.
char	/tʃɑːr/	char	/kɛər/|/kɑːr/	care|car		dev community	cs-term	contested	"char" (rhymes with "car") in C/C++ camp; "care" and "kar" also used.
regex	/ˈrɛdʒɛks/	rej eks	/ˈrɛɡɛks/	reg eks		dev community	cs-term	contested	"REJ-eks" (most common) vs "REG-eks".
sudo	/ˈsuːduː/	soo doo	/ˈsuːdoʊ/	soo doh	https://en.wikipedia.org/wiki/Sudo	Wikipedia	cli-tool	contested	"soo-doo" (substitute-user-do, Bourne convention) vs "soo-doh".
tmux	/ˌtiː ˈmʌks/	T mux	/ˈtiːmʌks/	tee mucks		dev community	tool	contested	"T-mux" or "TEE-mucks".
chmod	/ˌtʃiː ˈmɒd/	C H mod	/ˈtʃæmɒd/	chuh mod		dev community	cli-tool	contested	"CH-mod" or "chuh-MOD".
emacs	/ˈiːmæks/	ee max			https://www.gnu.org/software/emacs/	GNU Emacs	tool	community-consensus	"EE-max".
zsh	/ˌziː ˈʃɛl/	Z shell			https://zsh.sourceforge.io/	zsh docs	tool	community-consensus	"Z-shell".
WYSIWYG	/ˈwɪziwɪɡ/	whizzy wig			https://en.wikipedia.org/wiki/WYSIWYG	Wikipedia	acronym	community-consensus	"WIZ-ee-wig".
ASCII	/ˈæski/	ass key			https://en.wikipedia.org/wiki/ASCII	Wikipedia	acronym	community-consensus	"ASS-key".
Azure	/ˈæʒər/	azh er			https://azure.microsoft.com/	Microsoft	product	community-consensus	"AZH-er".
AWS	/ˌeɪ dʌbljuː ˈɛs/	A W S			https://aws.amazon.com/	Amazon	product	community-consensus	"A-W-S" letter-by-letter.
GCP	/ˌdʒiː siː ˈpiː/	G C P			https://cloud.google.com/	Google Cloud	product	community-consensus	"G-C-P".
SaaS	/sæs/	sass			https://en.wikipedia.org/wiki/Software_as_a_service	Wikipedia	acronym	community-consensus	"sass".
PaaS	/pæs/	pass			https://en.wikipedia.org/wiki/Platform_as_a_service	Wikipedia	acronym	community-consensus	"pass".
Numpy	/ˈnʌmpaɪ/	num pie			https://numpy.org/	NumPy docs	product	community-consensus	"NUM-pie".
SciPy	/ˈsaɪpaɪ/	sigh pie			https://scipy.org/	SciPy docs	product	community-consensus	"SIGH-pie".
Jupyter	/ˈdʒuːpɪtər/	joo pi ter			https://jupyter.org/	Jupyter docs	product	community-consensus	"JOO-pi-tur" — named after Jupiter (planet) + Julia, Python, R.
pandas	/ˈpændəz/	pandas			https://pandas.pydata.org/	pandas docs	product	community-consensus	"PAN-duhz".
PyTorch	/ˈpaɪtɔːrtʃ/	pie torch			https://pytorch.org/	PyTorch	product	community-consensus	"PIE-torch".
NaN	/næn/	nan	/ˌɛn eɪ ˈɛn/	N A N	https://en.wikipedia.org/wiki/NaN	Wikipedia	cs-term	contested	"nan" (rhymes with "can") or "N-A-N".
enum	/ˈiːnəm/	ee num				dev community	cs-term	community-consensus	"EE-num".
# --- AI / ML platforms and tools ---
Anthropic	/ˌænθrəˈpɪk/	anth row pick			https://www.anthropic.com/	Anthropic	product	community-consensus	"an-THROW-pick" — heard from Anthropic communications.
OpenAI	/ˈoʊpən eɪ aɪ/	open A I			https://openai.com/	OpenAI	product	community-consensus	"OH-pen A-I" letter-by-letter.
Claude	/klɔːd/	clawed			https://www.anthropic.com/claude	Anthropic	product	community-consensus	One syllable, rhymes with "fraud". Anthropic's LLM family.
Cohere	/koʊˈhɪər/	co here			https://cohere.com/	Cohere	product	community-consensus	"co-HEER", like the verb "cohere".
Mistral	/mɪˈstrɑːl/	mis trahl			https://mistral.ai/	Mistral AI	product	community-consensus	"miss-TRAL" (French style; the wind).
Ollama	/oʊˈlɑːmə/	oh la ma			https://ollama.com/	Ollama project	product	community-consensus	"oh-LAH-mah" — common community reading.
LangChain	/ˈlæŋtʃeɪn/	lang chain			https://www.langchain.com/	LangChain	product	community-consensus	"LANG-chain".
LlamaIndex	/ˈlɑːməˌɪndɛks/	llama index			https://www.llamaindex.ai/	LlamaIndex	product	community-consensus	"LLAH-mah index".
HuggingFace	/ˈhʌɡɪŋˌfeɪs/	hugging face			https://huggingface.co/	Hugging Face	product	community-consensus	"HUGGING face" — like the emoji.
vLLM	/ˌviː ɛl ɛl ˈɛm/	V L L M			https://github.com/vllm-project/vllm	vLLM	product	community-consensus	"V-L-L-M" letter-by-letter.
JAX	/dʒæks/	jacks			https://jax.readthedocs.io/	JAX docs	product	community-consensus	"jacks", one syllable. Google's autograd library.
Mojo	/ˈmoʊdʒoʊ/	mo jo			https://www.modular.com/mojo	Modular	product	community-consensus	"MOH-joe".
DSPy	/ˌdiː ɛs ˈpaɪ/	D S pie			https://dspy.ai/	DSPy	product	community-consensus	"D-S-py" — Stanford framework.
Pinecone	/ˈpaɪnˌkoʊn/	pine cone			https://www.pinecone.io/	Pinecone	product	community-consensus	"PINE-cone". Vector DB.
Weaviate	/ˈwiːviˌeɪt/	wee vee ate			https://weaviate.io/	Weaviate	product	community-consensus	"WEE-vee-ate" — common community reading.
Milvus	/ˈmɪlvəs/	mill vus			https://milvus.io/	Milvus	product	community-consensus	"MILL-vuhs".
Qdrant	/ˈkwɒdrənt/	quadrant			https://qdrant.tech/	Qdrant	product	community-consensus	"QUADRANT" — common reading; project FAQ TBD as a citable source.
Chroma	/ˈkroʊmə/	chroma			https://www.trychroma.com/	Chroma	product	community-consensus	"KROH-mah". Vector DB.
Modal	/ˈmoʊdl̩/	moh dl			https://modal.com/	Modal	product	community-consensus	"MOH-dul".
Replicate	/ˈrɛplɪˌkeɪt/	rep li kate			https://replicate.com/	Replicate	product	community-consensus	"REP-li-kate".
# --- Modern frontend frameworks ---
Next.js	/ˈnɛkst dʒeɪ ɛs/	next J S			https://nextjs.org/	Vercel	product	community-consensus	"NEXT-J-S".
Nuxt	/nʌkst/	nukst			https://nuxt.com/	Nuxt	product	community-consensus	"nukst" — one syllable.
Remix	/ˈriːmɪks/	ree mix			https://remix.run/	Remix	product	community-consensus	"REE-mix".
Qwik	/kwɪk/	quick			https://qwik.dev/	Qwik	product	community-consensus	"quick" — yes, intentional. Heard from creator Misko Hevery.
SolidJS	/ˈsɒlɪd dʒeɪ ɛs/	solid J S			https://www.solidjs.com/	SolidJS	product	community-consensus	"SOLID-J-S".
Tailwind	/ˈteɪlˌwɪnd/	tail wind			https://tailwindcss.com/	Tailwind CSS	product	community-consensus	"TAIL-wind".
shadcn	/ˌʃæd siː ˈɛn/	shad C N			https://ui.shadcn.com/	shadcn/ui	product	community-consensus	"shad-C-N" — common community reading; creator clarification TBD as a citable source.
tRPC	/ˌtiː ɑːr piː ˈsiː/	T R P C			https://trpc.io/	tRPC	product	community-consensus	"T-R-P-C".
Zod	/zɒd/	zod			https://zod.dev/	Zod	product	community-consensus	"zod" — one syllable.
Zustand	/ˈtsuːʃtʌnt/	tsu shtund			https://zustand.docs.pmnd.rs/	Poimandres	product	community-consensus	German for "state": "TSOO-shtund" in German; most English speakers say "ZOO-stund". Creator clarification TBD.
Drizzle	/ˈdrɪzəl/	drizzle			https://orm.drizzle.team/	Drizzle ORM	product	community-consensus	"DRIZ-l".
Prisma	/ˈprɪzmə/	prizma			https://www.prisma.io/	Prisma	product	community-consensus	"PRIZ-muh".
NestJS	/ˌnɛst dʒeɪ ˈɛs/	nest J S			https://nestjs.com/	NestJS	product	community-consensus	"NEST-J-S".
FastAPI	/ˌfæst eɪ piː ˈaɪ/	fast A P I			https://fastapi.tiangolo.com/	FastAPI	product	community-consensus	"fast-A-P-I".
# --- Companies ---
Vercel	/vɜːrˈsɛl/	ver SELL			https://vercel.com/	Vercel	product	community-consensus	"vur-SELL" — heard from Vercel communications.
Netlify	/ˈnɛtlɪˌfaɪ/	net li fy			https://www.netlify.com/	Netlify	product	community-consensus	"NET-li-fy".
Cloudflare	/ˈklaʊdˌflɛər/	cloud flair			https://www.cloudflare.com/	Cloudflare	product	community-consensus	"CLOUD-flair".
HashiCorp	/ˈhæʃiˌkɔːrp/	hashy corp			https://www.hashicorp.com/	HashiCorp	product	community-consensus	"HASH-ee-corp".
Datadog	/ˈdætəˌdɔːɡ/	data dog			https://www.datadoghq.com/	Datadog	product	community-consensus	"DATA-dog".
Stripe	/straɪp/	stripe			https://stripe.com/	Stripe	product	community-consensus	"stripe" — one syllable.
Notion	/ˈnoʊʃən/	no shun			https://www.notion.so/	Notion	product	community-consensus	"NO-shun" (like the noun).
Linear	/ˈlɪniər/	lin ee ar			https://linear.app/	Linear	product	community-consensus	"LIN-ee-ar".
Snowflake	/ˈsnoʊˌfleɪk/	snow flake			https://www.snowflake.com/	Snowflake	product	community-consensus	"SNOW-flake".
Databricks	/ˈdætəˌbrɪks/	data bricks			https://www.databricks.com/	Databricks	product	community-consensus	"DATA-bricks".
Palantir	/ˈpælənˌtɪər/	pal an teer			https://www.palantir.com/	Palantir	product	community-consensus	"PAL-an-teer" — from Tolkien's seeing-stones.
Atlassian	/ætˈlæsiən/	at lass ee an			https://www.atlassian.com/	Atlassian	product	community-consensus	"at-LASS-ee-an".
Splunk	/splʌŋk/	splunk			https://www.splunk.com/	Splunk	product	community-consensus	"splunk" — rhymes with "drunk".
# --- K8s / CNCF ecosystem ---
Cilium	/ˈsɪliəm/	silly um			https://cilium.io/	Cilium	product	community-consensus	"SIL-ee-um" — Latin for eyelash.
Linkerd	/ˈlɪŋkərdiː/	linker D			https://linkerd.io/	Linkerd	product	community-consensus	"LINKER-D".
Crossplane	/ˈkrɒsˌpleɪn/	cross plane			https://www.crossplane.io/	Crossplane	product	community-consensus	"CROSS-plane".
Karpenter	/ˈkɑːrpəntər/	carpenter			https://karpenter.sh/	Karpenter	product	community-consensus	"CARPENTER" — like the trade.
Velero	/vəˈlɛəroʊ/	veh lair oh			https://velero.io/	Velero	product	community-consensus	"vuh-LAIR-oh".
Falco	/ˈfælkoʊ/	fal co			https://falco.org/	Falco	product	community-consensus	"FAL-co".
Trivy	/ˈtrɪvi/	trivy			https://trivy.dev/	Trivy	product	community-consensus	"TRIV-ee".
Kyverno	/kaɪˈvɜːrnoʊ/	kai verno			https://kyverno.io/	Kyverno	product	community-consensus	"kai-VER-no".
OPA	/ˌoʊ piː ˈeɪ/	O P A			https://www.openpolicyagent.org/	OPA project	abbreviation	community-consensus	"O-P-A" letter-by-letter.
ArgoCD	/ˈɑːrɡoʊ siː diː/	argo C D			https://argoproj.github.io/cd/	Argo CD	product	community-consensus	"AR-go-C-D".
FluxCD	/ˈflʌks siː diː/	flux C D			https://fluxcd.io/	Flux CD	product	community-consensus	"FLUX-C-D".
Tekton	/ˈtɛktən/	tek ton			https://tekton.dev/	Tekton	product	community-consensus	"TEK-tun".
# --- Editors / IDEs / tools ---
Neovim	/ˈniːoʊˌvɪm/	nee oh vim			https://neovim.io/	Neovim	tool	community-consensus	"NEE-oh-vim" is the most common community reading.
Helix	/ˈhiːlɪks/	hee licks			https://helix-editor.com/	Helix	tool	community-consensus	"HEE-licks".
Zed	/zɛd/	zed			https://zed.dev/	Zed	tool	community-consensus	"zed" — the letter.
Cursor	/ˈkɜːrsər/	cur sir			https://cursor.com/	Cursor	tool	community-consensus	"CUR-sir".
IntelliJ	/ɪnˈtɛlədʒeɪ/	in tell i J			https://www.jetbrains.com/idea/	JetBrains	tool	community-consensus	"in-TELL-i-J".
ripgrep	/ˈrɪpɡrɛp/	rip grep			https://github.com/BurntSushi/ripgrep	BurntSushi	tool	community-consensus	"RIP-grep" (the `rg` command).
fzf	/ˌɛf ziː ˈɛf/	F Z F			https://github.com/junegunn/fzf	junegunn/fzf	tool	community-consensus	"F-Z-F" letter-by-letter.
eza	/ˈiːzə/	ee zah			https://eza.rocks/	eza	tool	community-consensus	"EE-zah" (ls replacement).
k9s	/ˈkeɪ naɪnz/	K nines			https://k9scli.io/	k9s	tool	community-consensus	"K-nines" — K8s TUI.
k3s	/ˌkeɪ θriː ˈɛs/	K three S			https://k3s.io/	Rancher	product	community-consensus	"K-three-S" (lightweight K8s).
# --- Search / DB engines ---
Elasticsearch	/ɪˈlæstɪkˌsɜːrtʃ/	elastic search			https://www.elastic.co/	Elastic	product	community-consensus	"e-LAS-tic-search".
Lucene	/luːˈsiːn/	loo seen			https://lucene.apache.org/	Apache Lucene	product	community-consensus	"loo-SEEN".
Solr	/ˈsɒlər/	sol er			https://solr.apache.org/	Apache Solr	product	community-consensus	"SOL-er".
Meilisearch	/ˌmeɪli ˈsɜːrtʃ/	may lee search			https://www.meilisearch.com/	Meilisearch	product	community-consensus	"MAY-lee-search".
Typesense	/ˈtaɪpˌsɛns/	type sense			https://typesense.org/	Typesense	product	community-consensus	"TYPE-sense".
Algolia	/ælˈɡoʊliə/	al go lia			https://www.algolia.com/	Algolia	product	community-consensus	"al-GO-lia".
Neo4j	/ˌniːoʊ ˌfɔːr ˈdʒeɪ/	nee oh four J			https://neo4j.com/	Neo4j	product	community-consensus	"NEE-oh-FOUR-J".
CockroachDB	/ˈkɒkroʊtʃ diː biː/	cockroach D B			https://www.cockroachlabs.com/	Cockroach Labs	product	community-consensus	"COCK-roach-D-B".
# --- Languages / runtimes ---
Elixir	/ɪˈlɪksər/	ee lik sir			https://elixir-lang.org/	Elixir	product	community-consensus	"ee-LIK-sir".
Erlang	/ˈɜːrlæŋ/	er lang			https://www.erlang.org/	Erlang	product	community-consensus	"ER-lang".
Haskell	/ˈhæskəl/	haskel			https://www.haskell.org/	Haskell	product	community-consensus	"HAS-kell".
Scala	/ˈskɑːlə/	skah la			https://www.scala-lang.org/	Scala	product	community-consensus	"SKAH-lah".
Kotlin	/ˈkɒtlɪn/	cot lin			https://kotlinlang.org/	Kotlin	product	community-consensus	"COT-lin" — short O.
Julia	/ˈdʒuːliə/	joo lia			https://julialang.org/	Julia	product	community-consensus	"JOO-lee-uh".
Clojure	/ˈkloʊʒər/	closure			https://clojure.org/	Clojure	product	community-consensus	Rich Hickey has said it sounds like "closure". Community reading.
OCaml	/oʊˈkæməl/	oh camel			https://ocaml.org/	OCaml	product	community-consensus	"OH-camel".
Lua	/ˈluːə/	loo ah			https://www.lua.org/about.html	Lua about	product	creator-clarified	"LOO-ah" — Portuguese for "moon". Documented on the about page.
Zig	/zɪɡ/	zig			https://ziglang.org/	Zig	product	community-consensus	"zig" — one syllable.
# --- Package / build tools ---
uv	/ˌjuː ˈviː/	you V			https://github.com/astral-sh/uv	Astral	tool	community-consensus	"U-V" — Astral's Python installer/resolver.
ruff	/rʌf/	ruff			https://docs.astral.sh/ruff/	Astral	tool	community-consensus	"ruff" — like a dog bark.
mypy	/ˈmaɪpaɪ/	my pie			https://mypy.readthedocs.io/	mypy	tool	community-consensus	"MY-pie" — Python type checker.
Biome	/baɪˈoʊm/	bye ohm			https://biomejs.dev/	Biome	tool	community-consensus	"BYE-ohm".
Bazel	/ˈbeɪzəl/	bay zel			https://bazel.build/	Bazel	tool	community-consensus	"BAY-zel".
Gradle	/ˈɡreɪdəl/	gray del			https://gradle.org/	Gradle	tool	community-consensus	"GRAY-del".
Cargo	/ˈkɑːrɡoʊ/	car go			https://doc.rust-lang.org/cargo/	Rust	tool	community-consensus	"CAR-go" — Rust's package manager.
pnpm	/ˌpiː ɛn piː ˈɛm/	P N P M			https://pnpm.io/	pnpm	tool	community-consensus	"P-N-P-M" letter-by-letter.
# --- Network / utility tools ---
nmap	/ˈɛnˌmæp/	en map			https://nmap.org/	Nmap	tool	community-consensus	"EN-map" — common community reading.
curl	/kɜːrl/	curl			https://curl.se/	curl	tool	community-consensus	"curl" — one syllable.
wget	/ˈdʌbljuː ɡɛt/	double-you get			https://www.gnu.org/software/wget/	GNU Wget	tool	community-consensus	"W-get" (double-you-get).
SSH	/ˌɛs ɛs ˈeɪtʃ/	S S H			https://en.wikipedia.org/wiki/Secure_Shell	Wikipedia	abbreviation	community-consensus	"S-S-H" letter-by-letter.
rsync	/ˈɑːrˌsɪŋk/	R sync			https://rsync.samba.org/	rsync	tool	community-consensus	"R-sync".
htop	/ˈeɪtʃˌtɒp/	H top			https://htop.dev/	htop	tool	community-consensus	"H-top".
# --- AI / ML acronyms and models commonly mispronounced ---
LLM	/ˌɛl ɛl ˈɛm/	L L M			https://en.wikipedia.org/wiki/Large_language_model	Wikipedia	acronym	community-consensus	"L-L-M" letter-by-letter — Large Language Model.
RAG	/ræɡ/	rag			https://en.wikipedia.org/wiki/Retrieval-augmented_generation	Wikipedia	acronym	community-consensus	"rag" (rhymes with "bag") — Retrieval-Augmented Generation.
